CTID,OwnerCTID,PublisherCTID
ce-07b0dc88-21ff-4ad0-a5aa-dbc91250f168,ce-8ddbf031-bad6-4b19-b726-066d5f71ad01,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-07e1dc57-0e14-4a76-8514-e60f7e78f174,ce-6765e17b-6c18-49ff-af7a-6e14b85ef2c9,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-07f719bf-46b0-44fa-8baf-f42ba307085e,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-0800bd1c-e82b-489e-88de-51f821bb6f4b,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-08018b1f-0065-4967-b681-5c3964433c55,ce-644275b9-0d5b-4088-a46a-88ec3c7328e5,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-080821cb-5481-4dea-a39b-bc7bebeeb692,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9
ce-0816e2f5-ea69-4187-a2fc-3eb0eb36c6b8,ce-7fceca4b-722e-4885-b3ae-a9f40504815c,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-08183b3d-cfcf-4b5d-a167-45371bcbf6a0,ce-4e1d2e74-ce38-4366-bc19-c0aea426b68f,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-082a1ae8-efab-4433-9807-e1c3b1f63ff7,ce-082a1ae8-efab-4433-9807-e1c3b1f63ff7,ce-082a1ae8-efab-4433-9807-e1c3b1f63ff7
ce-0830393a-3142-44c2-b947-b0098c899b55,ce-ab5cf847-04f6-40ad-a54b-08e8bbfe700c,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-084202d2-f44f-43f8-84b6-370cd96c5367,ce-1abb6c52-0f8c-4b17-9f89-7e9807673106,ce-1abb6c52-0f8c-4b17-9f89-7e9807673106
ce-084ff199-e611-42b7-8d08-1a725b147745,ce-67c20b04-d34d-4201-ab1a-e058ca08b37e,ce-67c20b04-d34d-4201-ab1a-e058ca08b37e
ce-086741c7-0b76-40bd-a1b7-65bda8a156c4,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-086e206b-21b8-440e-978b-44af2bc8f8c9,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9,ce-a7f6202e-070b-462c-ab05-e5dc1d9f21f9
ce-0876419c-06e9-4ae2-9c1a-12ca87b9b889,ce-0876419c-06e9-4ae2-9c1a-12ca87b9b889,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-08a0926e-9e62-4bfa-b32f-e16356cf9f08,ce-08a0926e-9e62-4bfa-b32f-e16356cf9f08,ce-08a0926e-9e62-4bfa-b32f-e16356cf9f08
ce-08a200d1-4179-4f83-8320-8c3541e891ab,ce-ff7df865-b570-40af-8ece-b14ccb497421,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-08ac5d9e-0109-4646-9e65-486074836738,ce-71cd8489-246a-492b-a374-6ea5ff905579,ce-960c3835-4b9a-4d89-85d6-7207f1dbedba
ce-08b31790-a3f7-4363-bda3-a747e1791a2d,ce-6be1eaf2-964f-48bd-89e4-da1b9abc000f,ce-6be1eaf2-964f-48bd-89e4-da1b9abc000f
ce-08b4eaf6-9156-40d8-bcc0-535d6338157f,ce-886e0dba-db0a-40f9-9067-1b282853d3fd,ce-886e0dba-db0a-40f9-9067-1b282853d3fd
ce-08beb3ac-571c-4c38-91ac-164c2e113883,ce-7fceca4b-722e-4885-b3ae-a9f40504815c,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
ce-08c06f45-e068-4518-80ef-674a072500c8,ce-1abb6c52-0f8c-4b17-9f89-7e9807673106,ce-9bd8c615-9f3c-40e6-9c20-6d9f811844e6
